simTime,src,dst,seq,ttl,viaBefore,arrivalNode
997.512384536,1000,1001,52,18,16777215,1001
simTime,src,dst,seq,ttl,viaBefore,arrivalNode
140.0924304307,1000,1001,0,14,1001,1001
167.0220304477,1000,1001,2,14,1001,1001
193.9516304647,1000,1001,4,14,1001,1001
207.8812304687,1000,1001,5,14,1001,1001
221.8108304727,1000,1001,6,14,1001,1001
238.7404304797,1000,1001,8,14,1001,1001
291.6700305227,1000,1001,13,14,1001,1001
307.5996305287,1000,1001,14,14,1001,1001
324.5292305357,1000,1001,16,14,1001,1001
336.4588305377,1000,1001,15,14,1001,1001
348.3884305397,1000,1001,17,14,1001,1001
360.3180305417,1000,1001,18,14,1001,1001
372.2476305437,1000,1001,19,14,1001,1001
384.1772305457,1000,1001,20,14,1001,1001
400.1068305517,1000,1001,23,14,1001,1001
416.0364305577,1000,1001,24,14,1001,1001
429.9660305617,1000,1001,25,14,1001,1001
445.8956305677,1000,1001,26,14,1001,1001
457.8252305697,1000,1001,27,14,1001,1001
469.7548305717,1000,1001,28,14,1001,1001
489.6844305817,1000,1001,31,14,1001,1001
511.6140305937,1000,1001,33,14,1001,1001
523.5436305957,1000,1001,34,14,1001,1001
541.4732306037,1000,1001,36,14,1001,1001
553.4028306057,1000,1001,37,14,1001,1001
567.3324306097,1000,1001,39,14,1001,1001
579.2620306117,1000,1001,40,14,1001,1001
591.1916306137,1000,1001,41,14,1001,1001
607.1212306197,1000,1001,43,14,1001,1001
624.0508306267,1000,1001,44,14,1001,1001
639.9804306327,1000,1001,46,14,1001,1001
656.9100306397,1000,1001,47,14,1001,1001
