simTime,event,packetSeq,src,dst,currentNode,ttlAfterDecr,chosenVia,nextHopType
237.3900856755,ENQUEUE_FWD,8,1000,1001,19,15,19,UNICAST
238.3851774217,TX_FWD_DATA,8,1000,1001,19,15,12,UNICAST
238.4448338155,RX_FWD_PRE,8,1000,1001,12,15,12,UNICAST
238.4448338155,ENQUEUE_FWD,8,1000,1001,12,14,12,UNICAST
238.6807754717,TX_FWD_DATA,8,1000,1001,12,14,1001,UNICAST
238.7404304797,RX_DST_PRE,8,1000,1001,1001,14,1001,UNICAST
238.7404304797,DELIVERED,8,1000,1001,1001,14,1001,UNICAST
238.7404304797,TX_ACK,8,1001,1000,1001,20,16777215,BCAST
238.8000834359,ENQUEUE_FWD,8,1001,1000,4,19,16777215,BCAST
238.8000836104,ENQUEUE_FWD,8,1001,1000,11,19,16777215,BCAST
238.8000854617,ENQUEUE_FWD,8,1001,1000,5,19,16777215,BCAST
238.8000854877,ENQUEUE_FWD,8,1001,1000,12,19,16777215,BCAST
239.0794901597,TX_FWD_ACK,8,1001,1000,5,19,12,UNICAST
239.577874712,TX_FWD_ACK,8,1001,1000,4,19,5,UNICAST
239.6911870647,TX_FWD_ACK,8,1001,1000,11,19,18,UNICAST
239.7508431133,ENQUEUE_FWD,8,1001,1000,18,18,18,UNICAST
239.7621082155,TX_FWD_ACK,8,1001,1000,18,18,19,UNICAST
239.8217647417,ENQUEUE_FWD,8,1001,1000,19,17,19,UNICAST
244.1906521619,TX_SRC,9,1000,1001,1000,20,16777215,BCAST
244.2503018117,RX_FWD_PRE,9,1000,1001,48,20,16777215,BCAST
244.2503018117,ENQUEUE_FWD,9,1000,1001,48,19,16777215,BCAST
244.2503081003,RX_FWD_PRE,9,1000,1001,47,20,16777215,BCAST
244.2503081003,ENQUEUE_FWD,9,1000,1001,47,19,16777215,BCAST
244.2503100669,RX_FWD_PRE,9,1000,1001,41,20,16777215,BCAST
244.2503100669,ENQUEUE_FWD,9,1000,1001,41,19,16777215,BCAST
244.3293652642,TX_FWD_DATA,9,1000,1001,47,19,40,UNICAST
244.3499774227,TX_FWD_ACK,8,1001,1000,19,17,26,UNICAST
244.3890214852,RX_FWD_PRE,9,1000,1001,40,19,40,UNICAST
244.3890214852,ENQUEUE_FWD,9,1000,1001,40,18,40,UNICAST
244.4096336859,ENQUEUE_FWD,8,1001,1000,26,16,26,UNICAST
244.5052479912,TX_FWD_DATA,9,1000,1001,41,19,40,UNICAST
244.5649041126,RX_FWD_PRE,9,1000,1001,40,19,40,UNICAST
244.6455754727,TX_FWD_ACK,8,1001,1000,12,19,19,UNICAST
245.1000482197,TX_FWD_DATA,9,1000,1001,40,18,33,UNICAST
245.1055666288,TX_FWD_DATA,9,1000,1001,48,19,41,UNICAST
245.2952294153,TX_FWD_ACK,8,1001,1000,26,16,33,UNICAST
245.3548857976,ENQUEUE_FWD,8,1001,1000,33,15,33,UNICAST
245.4468517686,TX_FWD_ACK,8,1001,1000,33,15,40,UNICAST
245.5065081633,ENQUEUE_FWD,8,1001,1000,40,14,40,UNICAST
251.0648482207,TX_FWD_ACK,8,1001,1000,40,14,41,UNICAST
251.1245043421,ENQUEUE_FWD,8,1001,1000,41,13,41,UNICAST
251.1554521639,TX_SRC,10,1000,1001,1000,20,16777215,BCAST
251.2151018137,RX_FWD_PRE,10,1000,1001,48,20,16777215,BCAST
251.2151018137,ENQUEUE_FWD,10,1000,1001,48,19,16777215,BCAST
251.2151081023,RX_FWD_PRE,10,1000,1001,47,20,16777215,BCAST
251.2151081023,ENQUEUE_FWD,10,1000,1001,47,19,16777215,BCAST
251.2151100689,RX_FWD_PRE,10,1000,1001,41,20,16777215,BCAST
251.2151100689,ENQUEUE_FWD,10,1000,1001,41,19,16777215,BCAST
251.2941652662,TX_FWD_DATA,10,1000,1001,47,19,40,UNICAST
251.3538214872,RX_FWD_PRE,10,1000,1001,40,19,40,UNICAST
251.3538214872,ENQUEUE_FWD,10,1000,1001,40,18,40,UNICAST
251.4700479932,TX_FWD_ACK,8,1001,1000,41,13,1000,UNICAST
251.5297058982,ACK_DELIVERED,8,1001,1000,1000,13,1000,UNICAST
252.0703666308,TX_FWD_DATA,10,1000,1001,48,19,41,UNICAST
252.1300229472,RX_FWD_PRE,10,1000,1001,41,19,41,UNICAST
257.0296482217,TX_FWD_DATA,10,1000,1001,40,18,33,UNICAST
